Energy_Consumption_kWh,Household_Size,Avg_Temperature_C,Has_AC,Peak_Hours_Usage_kWh,Household_ID_encoded
11.1,4,17.8,0,3.7,32
6.9,4,20.9,0,2.4,33
11.5,4,17.4,0,4.4,33
10.5,4,18.4,0,3.9,33
11.6,4,16.7,0,3.6,33
11.8,4,17.5,0,3.7,33
11.5,4,19.6,0,3.7,33
11.1,4,16.3,0,4.2,33
18.0,6,21.9,1,8.8,34
18.0,6,20.0,1,8.1,34
18.0,6,17.6,1,8.9,34
18.0,6,15.2,1,9.0,34
18.0,6,16.3,1,9.3,34
18.0,6,17.1,1,9.6,34
18.0,6,18.8,1,9.2,34
18.0,6,22.5,1,9.0,35
18.0,6,16.5,1,8.8,35
18.0,6,16.8,1,8.8,35
18.0,6,22.7,1,8.5,35
18.0,6,13.2,1,9.5,35
18.0,6,16.3,1,8.9,35
18.0,6,19.8,1,9.2,35
15.3,6,17.8,0,5.6,36
13.9,6,23.3,0,4.3,36
16.5,6,17.8,0,5.0,36
16.3,6,17.4,0,6.3,36
15.5,6,18.2,0,4.7,36
14.5,6,18.8,0,5.6,36
12.6,6,11.8,0,4.0,36
5.9,3,18.9,0,1.9,37
7.2,3,17.5,0,2.5,37
5.6,3,17.4,0,1.9,37
7.9,3,17.7,0,2.5,37
6.6,3,17.6,0,2.1,37
6.3,3,14.9,0,2.3,37
7.7,3,15.5,0,2.7,37
11.4,4,18.0,0,4.5,38
12.9,4,19.8,0,4.5,38
10.4,4,15.7,0,3.1,38
9.2,4,17.8,0,3.3,38
10.0,4,12.6,0,3.5,38
10.0,4,16.5,0,3.3,38
9.4,4,19.3,0,3.4,38
9.6,4,13.8,0,3.6,39
10.5,4,17.0,0,3.3,39
11.5,4,15.4,0,3.9,39
9.5,4,20.1,0,3.6,39
10.9,4,13.5,0,4.3,39
10.1,4,18.0,0,3.6,39
10.7,4,18.7,0,3.6,39
2.6,1,20.6,1,1.2,40
4.8,1,18.8,1,2.2,40
5.1,1,16.1,1,2.2,40
3.8,1,22.1,1,1.6,40
5.9,1,15.1,1,2.8,40
3.7,1,17.7,1,1.7,40
4.4,1,17.8,1,2.1,40
8.5,3,18.2,0,2.8,41
8.4,3,18.4,0,2.9,41
8.1,3,19.3,0,3.2,41
8.0,3,17.2,0,2.7,41
6.8,3,16.8,0,2.6,41
5.2,3,20.8,0,1.9,41
8.3,3,16.0,0,2.7,41
11.3,5,12.3,0,4.5,42
14.4,5,17.3,0,5.6,42
11.6,5,20.4,0,3.7,42
14.8,5,16.9,0,4.6,42
10.2,5,15.8,0,3.8,42
11.6,5,18.0,0,4.3,42
13.6,5,20.5,0,4.3,42
11.5,3,19.1,1,5.3,43
12.8,3,21.1,1,5.5,43
11.6,3,18.8,1,4.7,43
11.5,3,16.7,1,5.1,43
11.6,3,18.2,1,5.7,43
12.0,3,17.3,1,5.6,43
8.7,3,13.5,1,3.9,43
15.0,5,17.5,0,5.7,44
15.5,5,15.1,0,5.4,44
14.5,5,18.0,0,5.6,44
15.1,5,18.6,0,5.7,44
11.3,5,17.2,0,3.6,44
13.0,5,17.6,0,4.8,44
10.7,5,15.1,0,3.6,44
5.3,1,16.9,0,1.9,45
3.2,1,21.1,0,1.0,45
4.7,1,18.3,0,1.7,45
0.5,1,15.2,0,0.2,45
3.1,1,17.5,0,1.2,45
2.4,1,13.7,0,0.8,45
3.7,1,18.9,0,1.3,45
6.9,2,19.8,1,3.1,46
5.3,2,17.5,1,2.5,46
7.0,2,13.5,1,3.4,46
6.3,2,18.6,1,2.7,46
7.5,2,18.8,1,3.2,46
8.7,2,23.1,1,3.8,46
7.6,2,16.5,1,3.7,46
15.2,4,17.0,1,6.7,47
14.8,4,16.0,1,6.4,47
12.9,4,17.2,1,5.9,47
17.0,4,15.6,1,6.9,47
11.1,4,21.8,1,5.4,47
14.6,4,16.6,1,6.2,47
13.6,4,15.7,1,6.1,47
4.5,1,17.5,1,2.2,48
5.1,1,19.7,1,2.2,48
4.7,1,18.7,1,2.0,48
4.0,1,18.0,1,1.9,48
1.7,1,18.8,1,0.7,48
3.3,1,12.0,1,1.4,48
5.6,1,20.2,1,2.7,48
9.5,4,18.3,0,3.1,49
9.8,4,19.7,0,3.4,49
9.4,4,16.4,0,3.3,49
10.4,4,18.4,0,3.9,49
11.0,4,17.1,0,4.3,49
9.4,4,18.0,0,3.5,49
6.9,4,20.0,0,2.3,49
18.0,6,15.9,1,8.4,50
18.0,6,19.7,1,9.8,50
18.0,6,15.5,1,8.1,50
18.0,6,21.0,1,8.9,50
18.0,6,12.4,1,9.4,50
18.0,6,16.3,1,8.2,50
18.0,6,15.6,1,8.9,50
3.2,2,17.2,0,1.0,51
5.3,2,14.4,0,1.6,51
6.2,2,18.5,0,1.9,51
7.4,2,20.2,0,2.6,51
4.7,2,19.9,0,1.5,51
3.5,2,13.4,0,1.3,51
6.2,2,20.1,0,2.5,51
5.3,2,18.3,0,2.1,52
5.0,2,17.0,0,1.5,52
7.3,2,11.9,0,2.5,52
4.7,2,19.4,0,1.6,52
5.0,2,10.0,0,1.9,52
6.8,2,15.0,0,2.1,52
4.4,2,16.0,0,1.5,52
2.4,1,19.4,1,1.2,53
4.6,1,18.7,1,2.2,53
6.1,1,16.0,1,2.6,53
3.9,1,16.9,1,1.8,53
6.1,1,17.7,1,2.9,53
5.3,1,17.7,1,2.4,53
1.9,1,15.0,1,0.9,53
4.7,2,14.4,0,1.5,54
2.1,2,11.3,0,0.8,54
4.9,2,14.6,0,1.7,54
7.5,2,19.6,0,2.8,54
5.5,2,20.1,0,1.8,54
6.1,2,19.6,0,2.1,54
3.3,2,21.4,0,1.0,54
10.9,5,18.9,0,3.4,55
13.2,5,20.4,0,5.1,55
11.8,5,19.2,0,3.8,55
9.4,5,21.0,0,3.5,55
14.3,5,13.5,0,5.4,55
13.5,5,14.5,0,4.3,55
15.7,5,15.5,0,5.0,55
5.4,2,14.5,1,2.2,56
8.7,2,21.4,1,4.0,56
7.6,2,17.1,1,3.4,56
9.8,2,21.5,1,4.6,56
9.9,2,19.6,1,4.0,56
9.5,2,20.2,1,4.7,56
9.7,2,20.2,1,4.4,56
16.7,4,18.8,1,6.8,57
16.5,4,19.9,1,7.9,57
13.4,4,18.4,1,5.8,57
15.3,4,15.5,1,7.2,57
14.5,4,15.4,1,6.8,57
14.0,4,19.2,1,6.1,57
14.9,4,17.8,1,6.1,57
8.5,4,13.2,0,3.2,58
8.8,4,21.7,0,3.2,58
9.2,4,21.6,0,3.5,58
8.2,4,14.8,0,2.8,58
8.1,4,17.5,0,3.0,58
9.9,4,22.8,0,3.1,58
10.4,4,19.8,0,3.3,58
10.3,4,16.8,0,3.5,59
7.4,4,19.6,0,2.4,59
12.1,4,14.1,0,4.7,59
10.9,4,14.4,0,3.6,59
11.6,4,16.6,0,4.1,59
11.9,4,14.2,0,3.9,59
9.8,4,13.8,0,3.2,59
13.9,4,17.1,1,6.0,60
15.3,4,17.7,1,7.3,60
16.5,4,18.6,1,6.9,60
11.5,4,19.9,1,5.6,60
13.6,4,17.8,1,6.4,60
13.4,4,19.9,1,6.4,60
15.8,4,19.5,1,7.7,60
18.0,5,15.9,1,7.6,61
18.0,5,20.5,1,7.4,61
16.7,5,16.7,1,6.8,61
18.0,5,15.5,1,8.5,61
16.4,5,16.0,1,7.4,61
18.0,5,16.4,1,7.8,61
18.0,5,17.2,1,9.4,61
11.4,3,17.5,1,4.9,62
11.4,3,16.2,1,4.8,62
13.0,3,16.7,1,5.5,62
12.9,3,20.7,1,5.3,62
9.5,3,15.2,1,4.1,62
12.8,3,19.5,1,6.0,62
9.3,3,15.7,1,3.9,62
14.8,6,15.7,0,5.5,63
17.1,6,18.4,0,5.3,63
13.6,6,19.1,0,5.2,63
15.7,6,12.6,0,5.4,63
15.5,6,11.2,0,6.1,63
16.2,6,15.4,0,5.8,63
15.6,6,15.5,0,5.3,63
5.4,1,17.9,1,2.3,64
2.4,1,17.6,1,1.1,64
2.4,1,20.4,1,1.0,64
2.4,1,17.9,1,1.0,64
5.9,1,15.0,1,2.6,64
6.4,1,17.5,1,3.0,64
5.5,1,24.0,1,2.6,64
12.2,4,21.4,0,4.6,65
10.8,4,17.1,0,3.9,65
9.0,4,16.9,0,3.1,65
11.9,4,17.6,0,4.4,65
9.4,4,17.4,0,3.7,65
9.1,4,21.9,0,3.2,65
9.3,4,22.5,0,3.0,65
5.7,2,15.9,0,1.9,66
5.7,2,20.0,0,2.2,66
7.0,2,15.3,0,2.2,66
4.5,2,18.6,0,1.7,66
5.8,2,22.8,0,2.1,66
6.0,2,20.6,0,2.0,66
4.2,2,16.2,0,1.3,66
13.8,4,15.7,1,5.9,67
15.3,4,19.6,1,7.4,67
13.6,4,16.0,1,5.7,67
15.2,4,17.6,1,6.4,67
16.0,4,16.6,1,7.8,67
12.0,4,15.9,1,5.4,67
14.6,4,13.9,1,6.4,67
5.5,2,17.7,0,2.1,68
1.3,2,21.4,0,0.4,68
5.7,2,19.5,0,2.0,68
4.6,2,12.2,0,1.5,68
5.6,2,17.1,0,2.1,68
6.0,2,19.8,0,2.4,68
5.4,2,19.5,0,1.7,68
18.0,6,20.7,1,8.5,69
18.0,6,19.6,1,9.7,69
18.0,6,20.3,1,8.6,69
18.0,6,16.8,1,9.2,69
18.0,6,14.6,1,8.4,69
18.0,6,18.0,1,9.7,69
18.0,6,21.7,1,8.3,69
13.8,6,15.2,0,4.7,70
13.2,6,15.9,0,4.9,70
15.3,6,15.7,0,5.6,70
14.9,6,19.4,0,4.9,70
16.4,6,19.9,0,5.3,70
16.4,6,17.4,0,6.0,70
14.0,6,16.4,0,5.0,70
18.0,6,17.5,1,8.1,71
18.0,6,17.0,1,8.0,71
18.0,6,15.1,1,8.7,71
18.0,6,17.2,1,8.4,71
18.0,6,17.2,1,8.1,71
18.0,6,14.4,1,9.0,71
18.0,6,20.5,1,8.6,71
4.5,2,21.9,0,1.5,72
6.7,2,19.0,0,2.3,72
5.0,2,18.8,0,1.8,72
4.9,2,19.7,0,1.6,72
6.4,2,17.2,0,2.0,72
5.8,2,16.6,0,1.7,72
3.7,2,18.5,0,1.5,72
8.5,4,17.3,0,2.7,73
10.5,4,16.2,0,3.4,73
7.9,4,18.1,0,3.1,73
10.0,4,15.7,0,3.6,73
10.4,4,16.6,0,3.2,73
8.9,4,19.0,0,3.2,73
10.4,4,13.4,0,3.5,73
18.0,6,17.9,1,8.2,74
18.0,6,19.1,1,8.8,74
18.0,6,16.5,1,9.1,74
18.0,6,23.1,1,8.0,74
18.0,6,15.4,1,8.0,74
18.0,6,15.1,1,9.6,74
18.0,6,15.5,1,10.0,74
16.2,5,17.3,1,7.5,75
17.8,5,17.7,1,7.3,75
17.7,5,17.2,1,8.7,75
18.0,5,20.3,1,9.1,75
16.2,5,19.7,1,7.1,75
17.0,5,18.6,1,7.0,75
17.5,5,18.7,1,8.2,75
9.8,2,14.6,1,4.3,76
9.4,2,20.2,1,4.2,76
7.6,2,20.6,1,3.5,76
7.2,2,15.8,1,3.3,76
8.0,2,17.9,1,3.8,76
5.8,2,16.4,1,2.4,76
5.2,2,19.4,1,2.3,76
9.8,2,12.8,1,4.2,77
9.6,2,18.2,1,4.1,77
7.5,2,16.8,1,3.7,77
6.5,2,18.9,1,2.7,77
7.2,2,15.4,1,3.4,77
7.3,2,15.5,1,3.6,77
8.0,2,19.5,1,4.0,77
9.9,4,13.5,0,3.7,78
8.6,4,19.8,0,3.3,78
11.3,4,15.7,0,3.9,78
6.1,4,16.8,0,1.9,78
5.5,4,19.2,0,2.0,78
12.0,4,17.7,0,3.9,78
10.9,4,20.2,0,3.6,78
5.6,2,15.1,0,1.9,79
6.0,2,21.8,0,2.3,79
5.9,2,17.5,0,2.1,79
4.8,2,15.7,0,1.6,79
5.9,2,19.0,0,2.3,79
4.0,2,17.6,0,1.2,79
5.0,2,17.6,0,1.7,79
7.1,2,21.9,1,2.9,80
7.0,2,16.3,1,3.2,80
9.3,2,18.1,1,4.2,80
7.6,2,20.6,1,3.2,80
8.8,2,15.3,1,4.2,80
8.3,2,16.1,1,3.9,80
8.3,2,16.0,1,3.4,80
14.1,6,16.0,0,4.3,81
17.2,6,15.6,0,6.7,81
12.6,6,16.7,0,4.6,81
16.6,6,17.7,0,5.6,81
16.2,6,16.5,0,5.0,81
14.6,6,21.1,0,4.4,81
17.4,6,21.8,0,6.8,81
8.5,4,15.0,0,2.9,82
8.8,4,20.8,0,3.2,82
10.8,4,19.2,0,4.2,82
9.9,4,18.2,0,3.2,82
12.7,4,18.2,0,4.9,82
9.8,4,21.2,0,3.9,82
11.1,4,19.7,0,3.4,82
17.7,6,18.9,0,6.0,83
14.3,6,17.2,0,5.0,83
14.3,6,16.1,0,5.0,83
15.7,6,13.8,0,5.6,83
16.4,6,17.3,0,6.3,83
13.6,6,17.4,0,4.9,83
13.8,6,13.0,0,5.0,83
18.0,6,17.9,1,8.2,84
18.0,6,15.6,1,10.0,84
18.0,6,18.5,1,8.7,84
18.0,6,22.2,1,9.9,84
18.0,6,17.4,1,9.7,84
18.0,6,15.1,1,7.8,84
18.0,6,19.0,1,9.0,84
12.1,4,16.2,1,5.3,85
14.6,4,19.4,1,6.3,85
14.7,4,17.9,1,6.4,85
15.5,4,14.6,1,6.6,85
14.8,4,18.4,1,6.6,85
12.0,4,16.0,1,5.6,85
14.1,4,15.2,1,7.0,85
6.2,1,16.5,1,2.8,86
2.7,1,17.5,1,1.3,86
4.9,1,16.8,1,2.2,86
5.4,1,14.9,1,2.2,86
5.5,1,23.8,1,2.2,86
3.9,1,17.4,1,1.7,86
4.0,1,12.9,1,1.7,86
15.0,6,19.1,0,5.4,87
17.5,6,16.2,0,5.3,87
17.1,6,20.7,0,5.3,87
14.9,6,19.6,0,4.8,87
11.8,6,12.2,0,4.5,87
16.0,6,18.8,0,5.4,87
14.1,6,17.0,0,5.2,87
17.9,5,22.8,1,8.1,88
16.2,5,17.2,1,7.3,88
18.0,5,17.1,1,9.3,88
17.9,5,13.5,1,7.5,88
16.2,5,17.1,1,6.5,88
18.0,5,18.2,1,8.4,88
18.0,5,16.3,1,8.2,88
17.8,5,19.0,1,7.5,89
17.5,5,23.3,1,7.9,89
18.0,5,16.2,1,8.2,89
18.0,5,17.8,1,8.8,89
18.0,5,17.7,1,9.0,89
17.6,5,13.6,1,7.1,89
18.0,5,17.3,1,9.6,89
7.6,2,10.6,1,3.3,90
7.9,2,20.2,1,3.2,90
8.5,2,13.3,1,3.6,90
7.1,2,15.8,1,3.3,90
6.2,2,14.5,1,2.8,90
8.2,2,21.3,1,3.9,90
7.7,2,17.1,1,3.8,90
12.3,5,18.3,0,4.0,91
12.5,5,17.9,0,4.4,91
13.2,5,22.1,0,5.2,91
13.5,5,15.8,0,4.5,91
11.4,5,18.2,0,3.6,91
12.0,5,18.8,0,4.0,91
14.4,5,12.5,0,4.4,91
4.4,2,14.6,1,2.1,92
4.7,2,14.9,1,2.3,92
8.8,2,19.3,1,4.4,92
9.3,2,16.5,1,4.5,92
7.1,2,13.0,1,3.1,92
6.6,2,16.2,1,2.8,92
8.6,2,17.9,1,4.2,92
3.6,1,15.6,1,1.5,93
3.8,1,17.0,1,1.6,93
2.5,1,15.6,1,1.1,93
5.4,1,16.7,1,2.6,93
2.6,1,14.8,1,1.1,93
5.5,1,13.5,1,2.6,93
2.9,1,19.4,1,1.2,93
13.1,4,23.0,1,6.1,94
14.1,4,19.1,1,6.6,94
17.2,4,16.1,1,7.1,94
14.2,4,14.4,1,6.3,94
14.3,4,21.5,1,6.0,94
15.7,4,16.2,1,7.0,94
16.7,4,19.0,1,7.2,94
12.6,4,13.6,1,5.8,95
13.8,4,20.5,1,6.3,95
13.0,4,16.4,1,5.5,95
11.0,4,18.4,1,5.0,95
15.0,4,15.7,1,7.4,95
12.5,4,14.3,1,5.8,95
16.1,4,16.3,1,7.6,95
10.6,4,18.2,0,3.2,96
10.9,4,18.8,0,4.0,96
9.8,4,15.7,0,3.4,96
9.8,4,17.4,0,3.5,96
8.3,4,20.3,0,3.2,96
9.7,4,19.7,0,3.0,96
10.5,4,18.3,0,3.5,96
15.9,5,14.9,1,7.6,97
18.0,5,16.3,1,8.8,97
16.3,5,17.3,1,8.1,97
16.9,5,16.2,1,6.8,97
18.0,5,19.6,1,8.4,97
18.0,5,15.8,1,7.9,97
17.3,5,15.4,1,7.4,97
4.0,1,20.0,1,1.9,98
4.2,1,21.7,1,1.9,98
3.3,1,20.6,1,1.5,98
7.0,1,21.2,1,3.3,98
4.0,1,19.9,1,1.7,98
5.0,1,16.7,1,2.1,98
5.5,1,13.3,1,2.7,98
11.4,5,22.1,0,3.8,99
10.6,5,16.3,0,3.8,99
15.2,5,19.8,0,6.1,99
12.8,5,18.6,0,4.0,99
11.9,5,17.1,0,3.7,99
16.5,5,22.4,0,5.9,99
11.3,5,14.4,0,3.6,99
18.0,5,22.9,1,8.5,100
18.0,5,20.0,1,8.0,100
18.0,5,19.7,1,8.2,100
16.3,5,14.4,1,6.9,100
17.1,5,16.9,1,6.9,100
15.7,5,19.2,1,6.9,100
16.1,5,15.0,1,7.7,100
4.2,1,17.4,1,1.7,101
5.1,1,21.1,1,2.4,101
6.1,1,17.2,1,2.6,101
10.5,1,20.4,1,4.8,101
2.7,1,18.8,1,1.2,101
4.4,1,14.1,1,2.0,101
3.8,1,18.4,1,1.7,101
3.5,1,14.8,0,1.4,102
2.9,1,12.9,0,1.1,102
1.6,1,19.5,0,0.5,102
2.6,1,17.5,0,1.0,102
1.6,1,17.0,0,0.6,102
3.3,1,14.8,0,1.1,102
0.5,1,19.2,0,0.2,102
2.5,1,15.0,1,1.1,103
1.8,1,12.7,1,0.8,103
6.3,1,21.1,1,2.8,103
4.5,1,17.4,1,2.1,103
2.7,1,12.7,1,1.1,103
4.4,1,20.8,1,1.8,103
4.8,1,19.9,1,2.0,103
3.3,1,18.9,1,1.4,104
2.0,1,16.3,1,0.9,104
5.6,1,18.2,1,2.4,104
4.4,1,19.0,1,1.8,104
2.2,1,16.9,1,0.9,104
4.0,1,16.0,1,1.6,104
4.3,1,19.0,1,1.9,104
14.9,4,11.9,1,6.5,105
12.4,4,17.6,1,5.5,105
13.4,4,15.6,1,5.8,105
14.2,4,15.7,1,5.9,105
15.5,4,17.7,1,6.3,105
14.6,4,16.5,1,6.9,105
16.8,4,19.4,1,7.9,105
10.5,3,18.1,1,4.3,106
11.0,3,18.7,1,4.9,106
10.6,3,15.7,1,4.9,106
10.2,3,19.7,1,4.2,106
10.3,3,17.3,1,5.1,106
12.2,3,15.5,1,5.8,106
8.8,3,17.0,1,3.8,106
7.1,3,21.3,0,2.7,107
7.5,3,19.5,0,2.5,107
5.4,3,19.0,0,2.0,107
6.7,3,17.8,0,2.3,107
8.4,3,19.4,0,3.0,107
8.7,3,15.4,0,3.0,107
6.5,3,15.8,0,2.3,107
3.3,1,17.8,0,1.1,108
4.7,1,20.8,0,1.7,108
0.9,1,18.5,0,0.3,108
1.9,1,17.6,0,0.8,108
2.4,1,18.2,0,0.7,108
3.0,1,16.1,0,1.0,108
4.7,1,22.3,0,1.8,108
10.1,3,21.0,0,3.9,109
7.1,3,13.7,0,2.2,109
6.4,3,21.4,0,1.9,109
8.2,3,13.8,0,2.6,109
8.3,3,21.1,0,2.8,109
7.8,3,15.3,0,3.1,109
6.9,3,17.6,0,2.1,109
